No.,bedroom_num,total_bedroom_area(m2),study_area(m2),indoor_garden_area(m2),kitchen_area(m2),bathroom_area(m2),balcony_area(m2),floorplan_total_are(m2)
158,3,41.56 ,0.00 ,0.00 ,6.44 ,9.88 ,9.98 ,112.12 
159,3,43.49 ,0.00 ,0.00 ,7.77 ,13.17 ,18.84 ,142.83 
160,3,31.26 ,0.00 ,0.00 ,7.20 ,7.16 ,8.43 ,93.96 
161,3,28.07 ,0.00 ,5.31 ,5.57 ,3.90 ,6.15 ,83.73 
162,4,37.88 ,8.15 ,0.00 ,4.76 ,7.64 ,6.99 ,112.71 
163,4,37.14 ,7.23 ,0.00 ,9.14 ,9.20 ,5.89 ,120.59 
164,3,32.44 ,0.00 ,0.00 ,5.72 ,4.30 ,9.40 ,95.53 
165,3,36.01 ,0.00 ,0.00 ,5.94 ,9.25 ,5.39 ,109.73 
166,3,25.11 ,5.33 ,0.00 ,5.36 ,3.95 ,4.72 ,83.50 
167,4,38.21 ,7.82 ,0.00 ,7.50 ,9.00 ,8.65 ,119.48 
168,3,31.87 ,0.00 ,0.00 ,6.07 ,6.65 ,10.37 ,99.70 
169,2,21.81 ,0.00 ,0.00 ,5.43 ,2.61 ,5.01 ,60.16 
170,2,24.26 ,0.00 ,0.00 ,4.33 ,5.42 ,4.97 ,72.91 
171,3,18.35 ,8.66 ,0.00 ,4.77 ,3.84 ,2.84 ,82.46 
172,3,39.32 ,0.00 ,0.00 ,7.63 ,10.48 ,13.90 ,117.72 
173,2,27.50 ,0.00 ,0.00 ,6.13 ,6.83 ,22.63 ,110.09 
174,3,38.54 ,0.00 ,0.00 ,5.40 ,5.53 ,13.87 ,113.03 
175,3,37.69 ,0.00 ,0.00 ,4.08 ,6.13 ,11.15 ,114.28 
176,2,15.61 ,0.00 ,0.00 ,5.19 ,3.49 ,2.06 ,48.26 
177,2,16.73 ,0.00 ,0.00 ,6.12 ,4.07 ,4.05 ,67.95 
178,3,25.95 ,0.00 ,0.00 ,5.06 ,3.45 ,2.56 ,76.39 
179,2,24.36 ,0.00 ,0.00 ,5.54 ,3.56 ,5.77 ,77.93 
180,2,27.89 ,0.00 ,0.00 ,5.31 ,2.84 ,8.04 ,81.07 
181,3,33.06 ,0.00 ,0.00 ,5.74 ,7.42 ,2.95 ,91.31 
182,2,25.05 ,0.00 ,0.00 ,4.93 ,7.56 ,18.85 ,93.42 
183,3,39.53 ,0.00 ,0.00 ,4.27 ,3.06 ,11.05 ,91.85 
184,2,28.92 ,0.00 ,0.00 ,6.17 ,6.50 ,18.19 ,104.76 
